ID,Title,Author,Year,Publisher,Summary,Keywords
68,A Comprehensive V2X Simulation System for Connected Driving in Mixed Traffic Environments,"Shi, Y. et al.",2023,MODSIM World Conference,本稿では、混合交通環境における接続された運転のための包括的なV2Xシミュレーションシステムを提案します。,"Comprehensive V2X Simulation System, Connected Driving, Mixed Traffic Environments"
69,An Integrated Simulation Environment for Testing V2X Protocols and Applications,"Choudhury, A. et al.",2016,Procedia Computer Science,本稿では、V2Xプロトコルとアプリケーションのテストのための統合シミュレーション環境を提案します。,"Integrated Simulation Environment, V2X Protocols, V2X Applications"
70,Real-World V2X Data-Driven Traffic Scenario Generation for Autonomous Driving Simulation,"Liu, H. et al.",2024,arXiv,本稿では、自動運転シミュレーションのための実世界V2Xデータ駆動型交通シナリオ生成を提案します。,"Real-World V2X Data-Driven, Traffic Scenario Generation, Autonomous Driving Simulation"
71,iTETRIS: A Modular Simulation Platform for the Large Scale Evaluation of V2X Applications,"Schiegg, F. A. et al.",2012,Simulation Tools and Techniques (SIMUTools),本稿では、V2Xアプリケーションの大規模評価のためのモジュール型シミュレーションプラットフォームであるiTETRISを提案します。,"iTETRIS, Modular Simulation Platform, Large Scale Evaluation, V2X Applications"
72,Bidirectionally Coupled Network and Road Traffic Simulation for Improved IVC Analysis,"Sommer, C. et al.",2011,IEEE Transactions on Mobile Computing,本稿では、改善されたIVC（Inter-Vehicle Communication）分析のための双方向結合ネットワークおよび道路交通シミュレーションについて検討します。,"Bidirectionally Coupled, Network and Road Traffic Simulation, IVC Analysis"
73,Microscopic Traffic Simulation using SUMO,"Lopez, P. A. et al.",2018,IEEE International Conference on Intelligent Transportation Systems (ITSC),本稿では、SUMOを用いたミクロ交通シミュレーションについて検討します。,"Microscopic Traffic Simulation, SUMO"
74,The ns-3 Network Simulator,"Riley, G. F. & Henderson, T. R.",2010,Modeling and Tools for Network Simulation,本論文は、ns-3ネットワークシミュレータに関するものです。,ns-3 Network Simulator
75,A Survey on the Role of Artificial Intelligence and Machine Learning in 6G-V2X Applications,"Al-Dulaimi, A. et al.",2025,arXiv,本論文は、6G-V2Xアプリケーションにおける人工知能と機械学習の役割に関する調査です。,"Artificial Intelligence, Machine Learning, 6G-V2X Applications, Survey"
76,Resource Allocation in C-V2X: A review,"Tahi, T. Z.",2024,arXiv,本論文は、C-V2Xにおけるリソース割り当てに関するレビューです。,"Resource Allocation, C-V2X, Review"
77,"Towards 6G V2X Sidelink: Survey of Resource Allocation - Mathematical Formulations, Challenges, and Proposed Solutions","Annu & Rajalakshmi, P.",2024,IEEE Open Journal of Vehicular Technology,本論文は、6G V2Xサイドリンクに関する調査です。数学的定式化、課題、提案されたソリューションについて議論します。,"6G V2X Sidelink, Survey, Mathematical Formulations, Challenges, Solutions"
78,Vehicle to Everything (V2X) – A Survey on Standards and Operational Strategies,"Mohammadi, J. et al.",2022,IEEE Power & Energy Society General Meeting,本論文は、Vehicle to Everything (V2X) における標準と運用戦略に関する調査です。,"Vehicle to Everything (V2X), Standards, Operational Strategies, Survey"
79,A Comprehensive Survey on Challenges and Issues in V2X and V2V Communication in 6G Future Generation Communication Models,"Kumar, A. et al.",2023,International Journal of Interactive Mobile Technologies,本論文は、6G次世代通信モデルにおけるV2XおよびV2V通信の課題と問題に関する包括的な調査です。,"Challenges and Issues, V2X, V2V Communication, 6G Future Generation Communication Models, Survey"
80,A Survey on Radio Resource Allocation for V2X Communication,"Masmoudi, A. & Frikha, M.",2019,Wireless Communications and Mobile Computing,本論文は、V2X通信のための無線リソース割り当てに関する調査です。,"Radio Resource Allocation, V2X Communication, Survey"
81,Resource Allocation Modes in C-V2X: From LTE-V2X to 5G-V2X,"Sehla, K. et al.",2022,IEEE Internet of Things Journal,本論文は、C-V2Xにおけるリソース割り当てモードに関するものです。LTE-V2Xから5G-V2Xまでをカバーします。,"Resource Allocation Modes, C-V2X, LTE-V2X, 5G-V2X"
82,"A Comprehensive Survey on Machine Learning in Vehicular Network: Technology, Applications and Challenges","Tang, F. et al.",2021,IEEE Communications Surveys & Tutorials,本論文は、車両ネットワークにおける機械学習に関する包括的な調査です。技術、アプリケーション、課題について議論します。,"Machine Learning, Vehicular Network, Technology, Applications, Challenges, Survey"
83,"6G for Vehicle-to-Everything (V2X) Communications: Enabling Technologies, Challenges, and Opportunities","Noor-A-Rahim, M. et al.",2022,IEEE Communications Magazine,本論文は、6G for Vehicle-to-Everything (V2X) Communicationsに関するものです。実現技術、課題、機会について議論します。,"6G, Vehicle-to-Everything (V2X) Communications, Enabling Technologies, Challenges, Opportunities"
84,On the Design of Sidelink for Cellular V2X: A Literature Review and Outlook for Future,"Bazzi, A. et al.",2021,IEEE Access,本論文は、セルラーV2Xのためのサイドリンクの設計に関するものです。文献レビューと将来の展望について議論します。,"Sidelink, Cellular V2X, Literature Review, Outlook"
85,"3GPP NR V2X Mode 2: Overview, Models and System-Level Evaluation","Ali, Z. et al.",2021,IEEE Access,本論文は、3GPP NR V2Xモード2に関するものです。概要、モデル、システムレベル評価について議論します。,"3GPP NR V2X Mode 2, Overview, Models, System-Level Evaluation"
86,Performance Analysis of Sidelink 5G-V2X Mode 2 through an Open-Source Simulator,"Todisco, V. et al.",2021,IEEE Access,本論文は、オープンソースシミュレータを通じたサイドリンク5G-V2Xモード2の性能分析に関するものです。,"Performance Analysis, Sidelink 5G-V2X Mode 2, Open-Source Simulator"
87,Latency and Reliability of 5G NR V2X Sidelink Communications,"Molina-Galan, A. et al.",2021,IEEE Access,本論文は、5G NR V2Xサイドリンク通信の遅延と信頼性に関するものです。,"Latency, Reliability, 5G NR V2X Sidelink Communications"
88,Performance Optimization of Low-Latency Services: A Survey of CCA and AQM,"Zhang, Y. et al.",2024,Journal of Tsinghua University (Science and Technology),本論文は、低遅延サービスの性能最適化に関する調査です。CCA（Congestion Control Algorithm）とAQM（Active Queue Management）について議論します。,"Performance Optimization, Low-Latency Services, CCA (Congestion Control Algorithm), AQM (Active Queue Management), Survey"
89,Joint Optimal Allocation of Wireless Resource and MEC Computation Capability in Vehicular Network,"Zhu, M. et al.",2020,IEEE Transactions on Vehicular Technology,本稿では、車両ネットワークにおける無線リソースとMEC（Mobile Edge Computing）計算能力の共同最適割り当てを提案します。,"Joint Optimal Allocation, Wireless Resource, MEC Computation Capability, Vehicular Network"
90,Fair-Access Scheme for V2I Communications in Platoon-Based Vehicular Networks,"Chen, Y-C. et al.",2022,IEEE Vehicular Technology Conference (VTC-Spring),本稿では、プラトーンベースの車両ネットワークにおけるV2I通信のための公平なアクセス方式を提案します。,"Fair-Access Scheme, V2I Communications, Platoon-Based Vehicular Networks"
91,Towards 6G: Intelligent Reflecting Surface in Vehicular Communications,"Khan, M. A. et al.",2022,IEEE Transactions on Vehicular Technology,本論文は、6Gに向けた車両通信におけるインテリジェント反射面に関するものです。,"6G, Intelligent Reflecting Surface, Vehicular Communications"
92,A Fuzzy-Logic-Assisted Q Learning Model for Resource Allocation in 6G V2X,"Zhang, M. et al.",2023,IEEE Internet of Things Journal,本稿では、6G V2Xにおけるリソース割り当てのためのファジーロジック支援Q学習モデルを提案します。,"Fuzzy-Logic-Assisted Q Learning Model, Resource Allocation, 6G V2X"
93,Edge-Assisted V2X Motion Planning and Power Control Under Channel Uncertainty,"Wang, Z. et al.",2022,IEEE International Conference on Intelligent Transportation Systems (ITSC),本稿では、チャネル不確実性下におけるエッジ支援V2Xモーションプランニングと電力制御を提案します。,"Edge-Assisted V2X, Motion Planning, Power Control, Channel Uncertainty"
94,Mixed-traffic Intersection Management using V2X-enabled Speed Coordination,"Yosodipuro, N. D. et al.",2023,IEEE International Conference on Intelligent Transportation Systems (ITSC),本稿では、V2X対応速度協調を用いた混合交通交差点管理を提案します。,"Mixed-traffic Intersection Management, V2X-enabled Speed Coordination"
95,Delivery Rate Estimation Based Probabilistic Resource Re-scheduling for C-V2X Mode 4,"Kim, J. et al.",2024,Journal of Communications and Networks,本稿では、C-V2Xモード4における配信率推定に基づく確率的リソース再スケジューリングを提案します。,"Delivery Rate Estimation, Probabilistic Resource Re-scheduling, C-V2X Mode 4"
96,Resource Allocation Algorithm for V2X communications based on SCMA,"Wu, W. et al.",2018,IEEE Globecom Workshops,本稿では、SCMA（Sparse Code Multiple Access）に基づくV2X通信のためのリソース割り当てアルゴリズムを提案します。,"Resource Allocation Algorithm, V2X communications, SCMA"
97,Cellular-V2X Communications for Platooning: Design and Evaluation,"Bazzi, A. et al.",2018,Electronics,本論文は、プラトゥーニングのためのセルラーV2X通信に関するものです。設計と評価について議論します。,"Cellular-V2X Communications, Platooning, Design, Evaluation"
98,Optimal Resource Allocation in 6G V2X Open RAN with Multi-Access Edge Computing,"Tlelo-Cuautle, E. et al.",2025,Electronics,本稿では、マルチアクセスエッジコンピューティングを備えた6G V2X Open RANにおける最適なリソース割り当てを提案します。,"Optimal Resource Allocation, 6G V2X Open RAN, Multi-Access Edge Computing"
99,Improving Resource Allocation for beyond 5G V2X Sidelink Connectivity,"Campolo, C. et al.",2021,"Asilomar Conference on Signals, Systems and Computers",本稿では、5Gを超えるV2Xサイドリンク接続のためのリソース割り当ての改善を提案します。,"Improving Resource Allocation, beyond 5G V2X Sidelink Connectivity"
100,Supporting Sporadic DENM Traffic over 5G-V2X Sidelink in the Autonomous Mode,"Romeo, F. et al.",2021,IEEE Vehicular Technology Conference (VTC-Fall),本稿では、自律モードにおける5G-V2Xサイドリンクを介した散発的なDENM（Decentralized Environmental Notification Message）トラフィックのサポートについて検討します。,"Supporting Sporadic DENM Traffic, 5G-V2X Sidelink, Autonomous Mode"
